variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Material Demand|Chemicals|Formaldehyde|Transportation|Vehicle Stock;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Commercial;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in commercial sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in electricity generation sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Biomass;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Coal;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Gas;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Hydro;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Nuclear;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Solar;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Transmission and Distribution;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Electricity|Wind;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Residential;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in residential sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Transportation|Infrastructure;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|BTX|Transportation|Vehicle Stock;Mt/yr;3;Demand of the aromatic compounds Benzene, Toluene and the three xylene isomers (BTX) in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Commercial;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in commercial sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in electricity generation sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Biomass;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Coal;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Gas;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Hydro;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Nuclear;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Solar;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Transmission and Distribution;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Electricity|Wind;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Commercial;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in commercial sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in electricity generation sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Biomass;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Coal;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Gas;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Hydro;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Nuclear;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Solar;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Transmission and Distribution;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Electricity|Wind;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Residential;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in residential sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Transportation|Infrastructure;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Ethylene|Transportation|Vehicle Stock;Mt/yr;3;Demand of ethylene, most important precursor for synthetic plastics in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Commercial;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in commercial sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in electricity generation sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Biomass;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Coal;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Gas;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Hydro;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Nuclear;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Solar;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Transmission and Distribution;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Electricity|Wind;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Residential;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in residential sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Transportation|Infrastructure;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Propylene|Transportation|Vehicle Stock;Mt/yr;3;Demand of propylene, second most important precursor for synthetic plastics in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Residential;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in residential sector;;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Transportation|Infrastructure;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|High-Value Chemicals|Transportation|Vehicle Stock;Mt/yr;2;Demand of high-value chemicals, a group of primary chemicals consisting of ethylene, propylene, butylenes and aromatics in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Methanol;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels;;;;;;;;
Material Demand|Chemicals|Methanol|Commercial;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in commercial sector;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Biomass;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Coal;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Gas;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Hydro;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Nuclear;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Solar;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Transmission and Distribution;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Methanol|Electricity|Wind;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Methanol|Residential;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in residential sector;;;;;;;;
